"session","player","stage","step","round","time","timeup"
"room000001","992879760722389","selectLanguage","selectLanguage",1,1052,0
"room000001","778589769265614","selectLanguage","selectLanguage",1,2255,0
"room000001","992879760722389","questionnaire","questionnaire",1,2052,0
